player_slug,college
aaron-brooks,Virginia
aaron-jones,Texas-El Paso
aaron-rodgers,California
adam-humphries,Clemson
adam-thielen,Minnesota State
adrian-bryson,Tennessee
adrian-peterson,Oklahoma
adriel-green,Georgia
ahmad-bradshaw,Marshall
ahman-green,Nebraska
albert-wilson,Georgia State
alexander-collins,Arkansas
alexander-mattison,Boise State
alexander-smith,Ohio State
alfred-blue,LSU
alfred-morris,Florida Atlantic
algiers-dillon,Boston College
allen-hurns,Miami
allen-lazard,Iowa State
allen-robinson,Penn State
alshon-jeffery,South Carolina
alvin-kamara,Tennessee
amani-toomer,Michigan
amari-cooper,Alabama
ameer-abdullah,Nebraska
amon-ra-st-brown,USC
amos-zereoue,West Virginia
andre-ellington,Clemson
andre-johnson,Miami
andre-roberts,The Citadel
andrew-bennett,Florida A&M
andrew-dalton,TCU
andrew-hawkins,Toledo
andrew-luck,Stanford
anquan-boldin,Florida State
antarral-pinkston,Southern Mississippi
anthony-branch,Louisville
anthony-thomas,Michigan
anthony-white,Kentucky
antonio-brown,Central Michigan
antonio-bryant,Pittsburgh
antonio-gibson,Memphis
antonio-romo,Eastern Illinois
antowain-smith,Houston
arian-foster,Tennessee
arthur-brown,Kansas State
ashley-lelie,Hawaii
atiim-barber,Auburn
augustus-edwards,Rutgers
austin-collie,BYU
austin-ekeler,Western State
az-zahir-hakim,San Diego State
baker-mayfield,Oklahoma
benjamin-roethlisberger,Miami (Ohio)
benjamin-tate,Auburn
benjarvus-green-ellis,Mississippi
bernard-berrian,Fresno State
bernard-pierce,Temple
bijan-robinson,Texas
bilal-powell,Louisville
blaine-gabbert,Missouri
brandin-cooks,Oregon State
brandon-aiyuk,Arizona State
brandon-gibson,Washington State
brandon-jacobs,Southern Illinois
brandon-lafell,LSU
brandon-lloyd,Illinois
brandon-marshall,UCF
brandon-stokley,Louisiana-Lafayette
brandon-weeden,Oklahoma State
braylon-edwards,Michigan
breece-hall,Iowa State
brett-favre,Southern Mississippi
brian-finneran,Villanova
brian-griese,Michigan
brian-hartline,Ohio State
brian-hoyer,Michigan State
brian-robinson,Alabama
brian-westbrook,Villanova
brock-osweiler,Arizona State
brock-purdy,Iowa State
bryan-holcomb,Middle Tennessee State
bryant-johnson,Penn State
bryce-young,Alabama
burnell-wallace,Mississippi
byron-leftwich,Marshall
calvin-johnson,Georgia Tech
calvin-ridley,Alabama
cam-akers,Florida State
cameron-newton,Auburn
carey-hardman,Georgia
carlos-hyde,Ohio State
carnell-williams,LSU
carson-palmer,USC
carson-wentz,North Dakota State
casey-keenum,Houston
cecil-shorts,Mount Union College
cedarian-lamb,Oklahoma
cedric-benson,Texas
chad-henne,Michigan
chad-johnson,Oregon State
charles-batch,Eastern Michigan
charles-garner,Tennessee
charles-thomas,Tennessee State
chase-edmonds,Fordham
chester-taylor,Toledo
chris-chambers,Wisconsin
chris-wells,Ohio State
christian-conley,Georgia
christian-kirk,Texas A&M
christian-mccaffrey,Stanford
christian-ponder,Florida State
christopher-brown,Notre Dame
christopher-carson,Oklahoma State
christopher-chandler,Washington
christopher-hogan,Monmouth
christopher-ivory,Tiffin
christopher-johnson,East Carolina
chuba-hubbard,Oklahoma State
clifford-spiller,Clemson
clinton-portis,Miami
clyde-edwards-helaire,LSU
cole-beasley,SMU
coleridge-stroud,Ohio State
colin-kaepernick,Nevada
cooper-kupp,Eastern Washington
cordarrelle-patterson,Tennessee
corey-davis,Western Michigan
corey-dillon,Washington
correll-buckhalter,Nebraska
cortrelle-anderson,California
courtland-sutton,SMU
curtis-conway,USC
curtis-martin,Pittsburgh
curtis-samuel,Ohio State
d-andre-swift,Georgia
d-onta-foreman,Texas
dalvin-cook,Florida State
dameon-pierce,Florida
damien-harris,Alabama
damien-williams,Oklahoma
daniel-amendola,Texas Tech
daniel-jones,Duke
daniel-mccoy,Texas
daniel-thomas,Kansas State
danny-woodhead,Chadron State
darius-slayton,Auburn
darnell-mooney,Tulane
darrell-chark,LSU
darrell-henderson,Memphis
darrell-jackson,Florida
darren-mcfadden,Arkansas
darren-sproles,Kansas State
darrius-heyward-bey,Maryland
daunte-culpepper,UCF
davante-adams,Fresno State
david-boston,Ohio State
david-carr,Fresno State
david-garrard,East Carolina
david-givens,Notre Dame
david-johnson,Northern Iowa
david-montgomery,Iowa State
david-patten,Western Carolina
davis-mills,Stanford
davone-bess,Hawaii
deandre-hopkins,Clemson
deangelo-williams,Memphis
dekaylin-metcalf,Mississippi
demarco-murray,Oklahoma
demarcus-robinson,Florida
demaryius-thomas,Georgia Tech
dennis-northcutt,Arizona
denniston-moore,Toledo
derek-anderson,Oregon State
derek-carr,Fresno State
derrick-gaffney,Florida
derrick-henry,Alabama
derrick-mason,Michigan State
derrick-ward,University of Ottawa (Kans.)
derrick-watson,Clemson
desean-jackson,California
deshaun-foster,UCLA
desmond-bryant,Harvard
devante-parker,Louisville
devery-henderson,LSU
devin-hester,Miami
devin-singletary,Florida Atlantic
devonta-freeman,Florida State
devonta-smith,Alabama
devontae-booker,Utah
dexter-mccluster,Mississippi
dion-lewis,Pittsburgh
diontae-johnson,Toledo
domanick-williams,LSU
dominic-rhodes,Midwestern State
dominique-mostert,Purdue
donald-brown,Connecticut
donald-driver,Alcorn State
donnie-avery,Houston
donovan-mcnabb,Syracuse
donte-moncrief,Mississippi
donte-stallworth,Tennessee
douglas-baldwin,Pittsburgh
douglas-martin,Boise State
drake-london,USC
drew-bledsoe,Washington State
drew-brees,Purdue
duce-staley,South Carolina
dulymus-mcallister,Mississippi
dwayne-bowe,LSU
earnest-graham,Florida
eddie-kennison,LSU
eddie-lacy,Alabama
edgerrin-james,Miami
edward-george,Rice
edward-mccaffrey,Duke
elijah-mitchell,Louisiana-Lafayette
elijah-moore,Mississippi
elisha-manning,Mississippi
elvis-grbac,Michigan
emmanuel-sanders,SMU
emmitt-smith,Florida
eric-decker,Minnesota
eric-moulds,Mississippi State
errick-williams,LSU
eugene-hilton,Florida International
eugene-smith,West Virginia
ezekiel-elliott,Ohio State
felix-jones,Arkansas
franklin-gore,Miami
frederick-taylor,Florida
fredrick-jackson,Nebraska
gabriel-davis,Wake Forest
gardner-minshew,Washington State
garrett-wilson,Ohio State
giovani-bernard,North Carolina
golden-tate,Notre Dame
gregory-jennings,Fresno State
hakeem-nicks,North Carolina
harry-douglas,Louisville
hines-ward,Georgia
hunter-renfrow,Clemson
isaac-bruce,Memphis
isaac-hilliard,Florida
isaiah-crowell,Alabama State
isaiah-jones,Miami
isiah-pacheco,Rutgers
j-k-dobbins,Ohio State
ja-marr-chase,LSU
jacoby-brissett,N.C. State
jacoby-jones,Lane College
jacquizz-rodgers,Oregon State
jahmyr-gibbs,Alabama
jake-delhomme,Louisiana-Lafayette
jakobi-meyers,N.C. State
jalen-hurts,Oklahoma
jamaal-charles,Texas
jamaal-williams,BYU
jamal-lewis,Tennessee
jameis-winston,Florida State
james-allen,Oklahoma
james-conner,Pittsburgh
james-cook,Georgia
james-garoppolo,Eastern Illinois
james-johnson,Kansas State
james-jones,San Jose State
james-pennington,Marshall
james-robinson,Illinois State
james-smith,Clemson
james-starks,Buffalo
james-stewart,Miami
james-thrash,Missouri Southern
jamison-crowder,Duke
jared-goff,California
jarius-wright,Arkansas
jarvis-landry,LSU
jason-avant,Michigan
jason-campbell,Auburn
jason-plummer,Arizona State
javon-walker,Florida State
javonte-williams,North Carolina
jay-cutler,Vanderbilt
jay-fiedler,Dartmouth
jaylen-waddle,Alabama
jeff-garcia,San Jose State
jeffery-wilson,Duke
jeremy-hill,LSU
jeremy-kerley,TCU
jeremy-maclin,Missouri
jerick-mckinnon,Georgia Southern
jermaine-kearse,Washington
jerome-bettis,Notre Dame
jerome-pathon,Washington
jerricho-cotchery,N.C. State
jerry-jeudy,Alabama
jerry-porter,West Virginia
jerry-rice,Mississippi Valley State University
jimmy-smith,Jackson State University
joe-jurevicius,Penn State
joe-mixon,Oklahoma
john-brown,Pittsburg State (KS)
john-harrington,Oregon
john-smith-schuster,USC
john-stafford,Georgia
johnnie-morton,USC
joique-bell,Wayne State
jon-kitna,Central Washington University
jonathan-ajayi,Boise State
jonathan-losman,Tulane
jonathan-stewart,Oregon
jonathan-taylor,Wisconsin
jordan-howard,Indiana
jordan-love,Utah State
jordy-nelson,Kansas State
joseph-addai,LSU
joseph-burrow,LSU
joseph-flacco,Delaware
joseph-galloway,East Carolina
joseph-horn,Rocky Mountain College
josh-freeman,Kansas State
joshua-allen,Wyoming
joshua-gordon,Utah
joshua-jacobs,Alabama
joshua-mccown,Sam Houston State
joshua-morgan,Virginia Tech
joshua-reed,LSU
joshua-reynolds,Texas A&M
julian-edelman,Kent State
julius-jones,Notre Dame
justin-fargas,USC
justin-fields,Ohio State
justin-forsett,California
justin-gage,Missouri
justin-herbert,Oregon
justin-jefferson,LSU
justin-mccareins,Northern Illinois
kareem-hunt,Toledo
keelan-cole,Kentucky Wesleyan
keenan-allen,California
keenan-mccardell,UNLV
kelvin-benjamin,Florida State
kendall-wright,Baylor
kendrick-bourne,Eastern Washington
kenneth-barber,Auburn
kenneth-britt,Rutgers
kenneth-golladay,Northern Illinois
kenneth-stills,Oklahoma
