full_name,player_slug,position,college
Aaron Brooks,aaron-brooks,QB,Virginia
Aaron Jones,aaron-jones,RB,Texas-El Paso
Aaron Rodgers,aaron-rodgers,QB,California
Adam Humphries,adam-humphries,WR,Clemson
Adam Thielen,adam-thielen,WR,Minnesota State
Adrian Bryson,adrian-bryson,RB,Tennessee
Adrian Peterson,adrian-peterson,RB,Oklahoma
Adriel Green,adriel-green,WR,Georgia
Ahmad Bradshaw,ahmad-bradshaw,RB,Marshall
Ahman Green,ahman-green,RB,Nebraska
Albert Wilson,albert-wilson,WR,Georgia State
Alexander Collins,alexander-collins,RB,Arkansas
Alexander Mattison,alexander-mattison,RB,Boise State
Alexander Smith,alexander-smith,QB,Ohio State
Alfred Blue,alfred-blue,RB,LSU
Alfred Morris,alfred-morris,RB,Florida Atlantic
Algiers Dillon,algiers-dillon,RB,Boston College
Allen Hurns,allen-hurns,WR,Miami
Allen Lazard,allen-lazard,WR,Iowa State
Allen Robinson,allen-robinson,WR,Penn State
Alshon Jeffery,alshon-jeffery,WR,South Carolina
Alvin Kamara,alvin-kamara,RB,Tennessee
Amani Toomer,amani-toomer,WR,Michigan
Amari Cooper,amari-cooper,WR,Alabama
Ameer Abdullah,ameer-abdullah,RB,Nebraska
Amon-Ra St. Brown,amon-ra-st-brown,WR,USC
Amos Zereoue,amos-zereoue,RB,West Virginia
Andre Ellington,andre-ellington,RB,Clemson
Andre Johnson,andre-johnson,WR,Miami
Andre Roberts,andre-roberts,WR,The Citadel
Andrew Bennett,andrew-bennett,WR,Florida A&M
Andrew Dalton,andrew-dalton,QB,TCU
Andrew Hawkins,andrew-hawkins,WR,Toledo
Andrew Luck,andrew-luck,QB,Stanford
Anquan Boldin,anquan-boldin,WR,Florida State
Antarral Pinkston,antarral-pinkston,WR,Southern Mississippi
Anthony Branch,anthony-branch,WR,Louisville
Anthony Thomas,anthony-thomas,RB,Michigan
Anthony White,anthony-white,RB,Kentucky
Antonio Brown,antonio-brown,WR,Central Michigan
Antonio Bryant,antonio-bryant,WR,Pittsburgh
Antonio Gibson,antonio-gibson,RB,Memphis
Antonio Romo,antonio-romo,QB,Eastern Illinois
Antowain Smith,antowain-smith,RB,Houston
Arian Foster,arian-foster,RB,Tennessee
Arthur Brown,arthur-brown,WR,Kansas State
Ashley Lelie,ashley-lelie,WR,Hawaii
Atiim Barber,atiim-barber,RB,Auburn
Augustus Edwards,augustus-edwards,RB,Rutgers
Austin Collie,austin-collie,WR,BYU
Austin Ekeler,austin-ekeler,RB,Western State
Az-Zahir Hakim,az-zahir-hakim,WR,San Diego State
Baker Mayfield,baker-mayfield,QB,Oklahoma
BenJarvus Green-Ellis,benjarvus-green-ellis,RB,Mississippi
Benjamin Roethlisberger,benjamin-roethlisberger,QB,Miami (Ohio)
Benjamin Tate,benjamin-tate,RB,Auburn
Bernard Berrian,bernard-berrian,WR,Fresno State
Bernard Pierce,bernard-pierce,RB,Temple
Bijan Robinson,bijan-robinson,RB,Texas
Bilal Powell,bilal-powell,RB,Louisville
Blaine Gabbert,blaine-gabbert,QB,Missouri
Brandin Cooks,brandin-cooks,WR,Oregon State
Brandon Aiyuk,brandon-aiyuk,WR,Arizona State
Brandon Gibson,brandon-gibson,WR,Washington State
Brandon Jacobs,brandon-jacobs,RB,Southern Illinois
Brandon LaFell,brandon-lafell,WR,LSU
Brandon Lloyd,brandon-lloyd,WR,Illinois
Brandon Marshall,brandon-marshall,WR,UCF
Brandon Stokley,brandon-stokley,WR,Louisiana-Lafayette
Brandon Weeden,brandon-weeden,QB,Oklahoma State
Braylon Edwards,braylon-edwards,WR,Michigan
Breece Hall,breece-hall,RB,Iowa State
Brett Favre,brett-favre,QB,Southern Mississippi
Brian Finneran,brian-finneran,WR,Villanova
Brian Griese,brian-griese,QB,Michigan
Brian Hartline,brian-hartline,WR,Ohio State
Brian Hoyer,brian-hoyer,QB,Michigan State
Brian Robinson,brian-robinson,RB,Alabama
Brian Westbrook,brian-westbrook,RB,Villanova
Brock Osweiler,brock-osweiler,QB,Arizona State
Brock Purdy,brock-purdy,QB,Iowa State
Bryan Holcomb,bryan-holcomb,QB,Middle Tennessee State
Bryant Johnson,bryant-johnson,WR,Penn State
Bryce Young,bryce-young,QB,Alabama
Burnell Wallace,burnell-wallace,WR,Mississippi
Byron Leftwich,byron-leftwich,QB,Marshall
Calvin Johnson,calvin-johnson,WR,Georgia Tech
Calvin Ridley,calvin-ridley,WR,Alabama
Cam Akers,cam-akers,RB,Florida State
Cameron Newton,cameron-newton,QB,Auburn
Carey Hardman,carey-hardman,WR,Georgia
Carlos Hyde,carlos-hyde,RB,Ohio State
Carnell Williams,carnell-williams,RB,LSU
Carson Palmer,carson-palmer,QB,USC
Carson Wentz,carson-wentz,QB,North Dakota State
Casey Keenum,casey-keenum,QB,Houston
Cecil Shorts,cecil-shorts,WR,Mount Union College
Cedarian Lamb,cedarian-lamb,WR,Oklahoma
Cedric Benson,cedric-benson,RB,Texas
Chad Henne,chad-henne,QB,Michigan
Chad Johnson,chad-johnson,WR,Oregon State
Charles Batch,charles-batch,QB,Eastern Michigan
Charles Garner,charles-garner,RB,Tennessee
Charles Thomas,charles-thomas,RB,Tennessee State
Chase Edmonds,chase-edmonds,RB,Fordham
Chester Taylor,chester-taylor,RB,Toledo
Chris Chambers,chris-chambers,WR,Wisconsin
Chris Wells,chris-wells,RB,Ohio State
Christian Conley,christian-conley,WR,Georgia
Christian Kirk,christian-kirk,WR,Texas A&M
Christian McCaffrey,christian-mccaffrey,RB,Stanford
Christian Ponder,christian-ponder,QB,Florida State
Christopher Brown,christopher-brown,RB,Notre Dame
Christopher Carson,christopher-carson,RB,Oklahoma State
Christopher Chandler,christopher-chandler,QB,Washington
Christopher Hogan,christopher-hogan,WR,Monmouth
Christopher Ivory,christopher-ivory,RB,Tiffin
Christopher Johnson,christopher-johnson,RB,East Carolina
Chuba Hubbard,chuba-hubbard,RB,Oklahoma State
Clifford Spiller,clifford-spiller,RB,Clemson
Clinton Portis,clinton-portis,RB,Miami
Clyde Edwards-Helaire,clyde-edwards-helaire,RB,LSU
Cole Beasley,cole-beasley,WR,SMU
Coleridge Stroud,coleridge-stroud,QB,Ohio State
Colin Kaepernick,colin-kaepernick,QB,Nevada
Cooper Kupp,cooper-kupp,WR,Eastern Washington
Cordarrelle Patterson,cordarrelle-patterson,RB,Tennessee
Corey Davis,corey-davis,WR,Western Michigan
Corey Dillon,corey-dillon,RB,Washington
Correll Buckhalter,correll-buckhalter,RB,Nebraska
Cortrelle Anderson,cortrelle-anderson,RB,California
Courtland Sutton,courtland-sutton,WR,SMU
Curtis Conway,curtis-conway,WR,USC
Curtis Martin,curtis-martin,RB,Pittsburgh
