season,team,wins,losses,ties
2007,WAS,9,7,0
2005,NYG,11,5,0
2016,NYG,11,5,0
2018,WAS,7,9,0
2002,CLE,9,7,0
2014,LAC,9,7,0
2012,NYJ,6,10,0
2000,LAR,10,6,0
2003,HOU,5,11,0
2011,LAR,2,14,0
2023,NYJ,7,10,0
2002,LV,11,5,0
2002,TB,12,4,0
2000,MIN,11,5,0
2011,MIN,3,13,0
2008,DEN,8,8,0
2013,ARI,10,6,0
2004,PHI,13,3,0
2008,JAX,5,11,0
2022,MIN,13,4,0
2008,CHI,9,7,0
2000,PIT,9,7,0
2011,PIT,12,4,0
2022,PIT,9,8,0
2021,CLE,8,9,0
2000,ATL,4,12,0
2004,GB,10,6,0
2011,ATL,10,6,0
2015,GB,10,6,0
2005,BUF,5,11,0
2016,BUF,7,9,0
2017,DET,9,7,0
2004,CIN,8,8,0
2015,CIN,12,4,0
2022,ATL,7,10,0
2024,MIA,8,9,0
2014,TEN,2,14,0
2019,KC,12,4,0
2021,LV,10,7,0
2021,TB,13,4,0
2002,DAL,5,11,0
2008,NYG,12,4,0
2010,WAS,6,10,0
2006,LAC,14,2,0
2004,NYJ,10,6,0
2003,LAR,12,4,0
2015,NYJ,10,6,0
2007,SF,5,11,0
2018,SF,4,12,0
2007,NE,16,0,0
2018,NE,11,5,0
2023,HOU,10,7,0
2007,DET,7,9,0
2018,DET,6,10,0
2003,MIN,9,7,0
2007,IND,13,3,0
2018,IND,10,6,0
2012,NO,7,9,0
2023,NO,9,8,0
2024,PHI,14,3,0
2021,DAL,12,5,0
2003,PIT,6,10,0
2013,CAR,12,4,0
2019,DEN,7,9,0
2013,CLE,4,12,0
2019,JAX,6,10,0
2024,ARI,8,9,0
2003,ATL,5,11,0
2019,CHI,8,8,0
2008,BUF,7,9,0
2002,SEA,7,9,0
2006,TEN,8,8,0
2013,LV,4,12,0
2013,TB,4,12,0
2024,CIN,9,8,0
2000,BAL,12,4,0
2002,KC,8,8,0
2011,BAL,12,4,0
2022,BAL,10,7,0
2020,LA,10,6,0
2010,SF,6,10,0
2014,CAR,7,8,1
2010,NE,14,2,0
2019,NYG,4,12,0
2010,DET,6,10,0
2006,HOU,6,10,0
2014,LAR,6,10,0
2010,IND,10,6,0
2021,SEA,7,10,0
2004,NO,8,8,0
2015,NO,7,9,0
2005,PHI,6,10,0
2016,PHI,7,9,0
2013,DAL,8,8,0
2014,MIN,7,9,0
2021,KC,12,5,0
2000,DEN,11,5,0
2005,ARI,5,11,0
2000,JAX,7,9,0
2011,JAX,5,11,0
2011,DEN,8,8,0
2016,ARI,7,8,1
2000,CHI,5,11,0
2011,CHI,8,8,0
2017,LAC,9,7,0
2022,CHI,3,14,0
2022,JAX,9,8,0
2014,PIT,11,5,0
2010,MIA,7,9,0
2024,CLE,3,14,0
2007,GB,13,3,0
2014,ATL,6,10,0
2018,GB,6,9,1
2003,BAL,10,6,0
2019,BUF,10,6,0
2009,DET,2,14,0
2007,CIN,7,9,0
2014,DAL,12,4,0
2011,CAR,6,10,0
2006,CAR,8,8,0
2024,LV,4,13,0
2024,TB,10,7,0
2002,WAS,7,9,0
2000,NYG,12,4,0
2011,NYG,9,7,0
2022,NYG,9,7,1
2019,NE,12,4,0
2007,NYJ,4,12,0
2006,LAR,8,8,0
2018,NYJ,4,12,0
2013,SEA,13,3,0
2006,MIN,6,10,0
2013,KC,11,5,0
2003,DEN,10,6,0
2008,ARI,9,7,0
2003,JAX,5,11,0
2003,CHI,7,9,0
2021,WAS,7,10,0
2006,PIT,8,8,0
2005,CLE,6,10,0
2016,CLE,1,15,0
2006,ATL,7,9,0
2010,GB,10,6,0
2017,HOU,4,12,0
2000,BUF,8,8,0
2011,BUF,6,10,0
2019,MIA,5,11,0
2010,CIN,4,12,0
2022,BUF,13,3,0
2005,LV,4,12,0
2014,KC,9,7,0
2016,LV,12,4,0
2005,TB,11,5,0
2016,TB,9,7,0
2003,NYG,4,12,0
2001,LAC,5,11,0
2017,NO,11,5,0
2010,NYJ,11,5,0
2023,LA,10,7,0
2002,SF,10,6,0
2002,NE,9,7,0
2018,HOU,11,5,0
2002,DET,3,13,0
2002,IND,10,6,0
2024,SEA,10,7,0
2007,NO,7,9,0
2018,NO,13,3,0
2019,PHI,9,7,0
2005,DAL,9,7,0
2016,DAL,13,3,0
2008,CAR,12,4,0
2014,DEN,12,4,0
2008,CLE,4,12,0
2014,JAX,3,13,0
2009,LAC,13,3,0
2019,ARI,5,10,1
2020,LAC,7,9,0
2014,CHI,5,11,0
2021,SF,10,7,0
2003,BUF,6,10,0
2022,MIA,9,8,0
2021,NE,10,7,0
2001,TEN,7,9,0
2008,LV,5,11,0
2008,TB,9,7,0
2019,CIN,2,14,0
2021,DET,3,13,1
2006,BAL,13,3,0
2017,MIN,13,3,0
2021,IND,9,8,0
2014,NYG,6,10,0
2017,PIT,13,3,0
2005,SEA,13,3,0
2016,SEA,10,5,1
2009,TEN,8,8,0
2020,TEN,11,5,0
2010,NO,11,5,0
2000,PHI,11,5,0
2011,PHI,8,8,0
2021,MIA,9,8,0
2022,PHI,14,3,0
2008,DAL,9,7,0
2005,KC,10,6,0
2006,DEN,9,7,0
2000,ARI,3,13,0
2006,JAX,8,8,0
2011,ARI,8,8,0
2016,KC,12,4,0
2022,ARI,4,13,0
2006,CHI,13,3,0
2013,SF,12,4,0
2013,NE,12,4,0
2024,WAS,12,5,0
2019,CLE,6,10,0
2002,GB,12,4,0
2009,HOU,9,7,0
2020,HOU,4,12,0
2014,BUF,9,7,0
2004,DET,6,10,0
2013,IND,11,5,0
2001,CAR,1,15,0
2019,LV,7,9,0
2019,TB,7,9,0
2006,NYG,8,8,0
2014,NE,12,4,0
2002,NYJ,9,7,0
2001,LAR,14,2,0
2008,SEA,4,12,0
2013,MIA,8,8,0
2021,GB,13,4,0
2001,MIN,5,11,0
2008,KC,2,14,0
2017,BAL,9,7,0
2003,ARI,4,12,0
2021,CIN,10,7,0
2009,CAR,8,8,0
2020,CAR,5,11,0
2005,WAS,10,6,0
2001,PIT,13,3,0
2016,WAS,8,7,1
2000,CLE,3,13,0
2011,CLE,4,12,0
2012,LAC,7,9,0
2022,CLE,7,10,0
2021,NYJ,4,13,0
2001,ATL,7,9,0
2009,LAR,1,15,0
2023,LAC,5,12,0
2024,SF,6,11,0
2006,BUF,7,9,0
2014,MIA,8,8,0
2024,NE,4,13,0
2000,LV,12,4,0
2011,LV,8,8,0
2018,BAL,10,6,0
2000,TB,10,6,0
2011,TB,4,12,0
2022,TB,8,9,0
2022,LV,6,11,0
2024,DET,15,2,0
2009,MIN,12,4,0
2020,MIN,7,9,0
2017,DEN,5,11,0
2024,IND,8,9,0
2013,PHI,10,6,0
2017,JAX,10,6,0
2018,LA,13,3,0
2017,CHI,5,11,0
2009,PIT,9,7,0
2020,PIT,12,4,0
2009,ATL,9,7,0
2013,GB,8,7,1
2020,ATL,4,12,0
2019,SEA,11,5,0
2013,CIN,11,5,0
2012,TEN,6,10,0
2023,TEN,6,11,0
2002,NO,9,7,0
2014,PHI,10,6,0
2000,DAL,5,11,0
2008,WAS,8,8,0
2011,DAL,8,8,0
2017,NYG,3,13,0
2003,CAR,11,5,0
2022,DAL,12,5,0
2003,CLE,5,11,0
2014,ARI,11,5,0
2004,LAC,12,4,0
2015,LAC,4,12,0
2013,NYJ,8,8,0
2005,SF,4,12,0
2016,SF,2,14,0
2005,NE,10,6,0
2016,NE,14,2,0
2003,LV,4,12,0
2003,TB,7,9,0
2005,DET,5,11,0
2014,CIN,10,5,1
2016,DET,9,7,0
2012,HOU,12,4,0
2001,BAL,10,6,0
2005,IND,14,2,0
2016,IND,8,8,0
2021,NO,9,8,0
2017,BUF,9,7,0
2000,SEA,6,10,0
2011,SEA,7,9,0
2022,SEA,9,8,0
2004,TEN,5,11,0
2015,TEN,3,13,0
2006,PHI,10,6,0
2005,MIA,9,7,0
2016,MIA,10,6,0
2003,DAL,10,6,0
2024,GB,11,6,0
2000,KC,7,9,0
2001,DEN,8,8,0
2006,ARI,5,11,0
2001,JAX,6,10,0
2009,BAL,9,7,0
2011,KC,7,9,0
2020,BAL,11,5,0
2001,CHI,13,3,0
2022,KC,14,3,0
2008,SF,7,9,0
2012,CAR,7,9,0
2023,CAR,2,15,0
2008,NE,11,5,0
2019,WAS,3,13,0
2014,CLE,7,9,0
2024,NYJ,5,12,0
2004,HOU,7,9,0
2012,LAR,7,8,1
2015,HOU,9,7,0
2008,IND,12,4,0
2014,LV,3,13,0
2014,TB,2,14,0
2013,NO,11,5,0
2001,NYG,7,9,0
2012,MIN,10,6,0
2023,MIN,7,10,0
2009,DEN,8,8,0
2020,DEN,5,11,0
2009,JAX,7,9,0
2020,JAX,1,15,0
2009,CHI,7,9,0
2020,CHI,8,8,0
2003,SEA,10,6,0
2022,DEN,5,12,0
2012,PIT,8,8,0
2023,PIT,10,7,0
2008,MIA,11,5,0
2005,GB,4,12,0
2012,ATL,13,3,0
2016,GB,10,6,0
2003,KC,13,3,0
2023,ATL,7,10,0
2005,CIN,11,5,0
2016,CIN,6,9,1
